Country,TotalConfirmed,NewConfirmed,NewDeaths,TotalDeaths,NewRecovered,TotalRecovered,Date
Nepal,267,18,0,0,1,36,2020-05-16T17:44:07Z
Netherlands,43880,200,53,5662,0,159,2020-05-16T17:44:07Z
New Zealand,1498,0,0,21,7,1428,2020-05-16T17:44:07Z
Nicaragua,25,0,0,8,0,7,2020-05-16T17:44:07Z
Niger,885,9,1,51,7,684,2020-05-16T17:44:07Z
Nigeria,5450,288,4,171,140,1320,2020-05-16T17:44:07Z
Norway,8219,23,0,232,0,32,2020-05-16T17:44:07Z
Oman,4625,284,2,20,47,1350,2020-05-16T17:44:07Z
Pakistan,38799,3011,64,834,1185,10880,2020-05-16T17:44:07Z
Palestinian Territory,375,0,0,2,5,315,2020-05-16T17:44:07Z
Panama,9268,150,6,266,0,6080,2020-05-16T17:44:07Z
Papua New Guinea,8,0,0,0,0,8,2020-05-16T17:44:07Z
Paraguay,759,5,0,11,9,193,2020-05-16T17:44:07Z
Peru,84495,3891,125,2392,1996,27147,2020-05-16T17:44:07Z
Philippines,12091,215,16,806,123,2460,2020-05-16T17:44:07Z
Poland,18016,401,24,907,222,6918,2020-05-16T17:44:07Z
Portugal,28583,264,6,1190,130,3328,2020-05-16T17:44:07Z
Qatar,29425,1153,0,14,190,3546,2020-05-16T17:44:07Z
Republic of Kosovo,944,0,0,29,0,690,2020-05-16T17:44:07Z
Romania,16437,190,17,1070,317,9370,2020-05-16T17:44:07Z
Russian Federation,262843,10598,113,2418,4696,58226,2020-05-16T17:44:07Z
Rwanda,287,0,0,0,9,177,2020-05-16T17:44:07Z
Saint Kitts and Nevis,15,0,0,0,0,14,2020-05-16T17:44:07Z
Saint Lucia,18,0,0,0,0,18,2020-05-16T17:44:07Z
Saint Vincent and Grenadines,17,0,0,0,2,14,2020-05-16T17:44:07Z
San Marino,652,4,0,41,17,189,2020-05-16T17:44:07Z
Sao Tome and Principe,235,0,0,7,0,4,2020-05-16T17:44:07Z
Saudi Arabia,49176,2307,9,292,2818,21869,2020-05-16T17:44:07Z
Senegal,2310,121,2,25,48,890,2020-05-16T17:44:07Z
Serbia,10438,64,1,225,217,4301,2020-05-16T17:44:07Z
Seychelles,11,0,0,0,0,10,2020-05-16T17:44:07Z
Sierra Leone,447,39,1,27,0,97,2020-05-16T17:44:07Z
Singapore,26891,793,0,21,1275,7248,2020-05-16T17:44:07Z
Slovakia,1480,3,0,27,19,1131,2020-05-16T17:44:07Z
Slovenia,1465,1,0,103,3,270,2020-05-16T17:44:07Z
Somalia,1284,0,0,53,0,135,2020-05-16T17:44:07Z
South Africa,13524,785,9,247,407,6083,2020-05-16T17:44:07Z
South Sudan,236,33,4,4,1,4,2020-05-16T17:44:07Z
Spain,230183,643,138,27459,1409,144783,2020-05-16T17:44:07Z
Sri Lanka,935,10,0,9,32,477,2020-05-16T17:44:07Z
Sudan,1964,146,1,91,7,205,2020-05-16T17:44:07Z
Suriname,10,0,0,1,0,9,2020-05-16T17:44:07Z
Swaziland,190,3,0,2,15,66,2020-05-16T17:44:07Z
Sweden,29207,625,117,3646,0,4971,2020-05-16T17:44:07Z
Switzerland,30514,51,6,1878,0,27100,2020-05-16T17:44:07Z
Syrian Arab Republic (Syria),50,2,0,3,7,36,2020-05-16T17:44:07Z
